,Date,Gold,Zinc,Platinum,Silver,Tin,Copper,Year,Month,Date
113,1969M06,41.44,281.3,122.5,1.65,3379.7,1483.04,1969,6,1969M06
114,1969M07,41.76,283.7,122.5,1.62,3439.2,1453.95,1969,7,1969M07
115,1969M08,41.09,293.9,122.5,1.65,3470.1,1606.73,1969,8,1969M08
116,1969M09,40.87,299.4,122.5,1.79,3470.1,1578.95,1969,9,1969M09
117,1969M10,40.44,298.9,122.75,1.87,3534,1554.48,1969,10,1969M10
118,1969M11,37.4,309.5,132.5,1.92,3642,1631.42,1969,11,1969M11
119,1969M12,35.17,310.2,132.5,1.81,3818.4,1699.76,1969,12,1969M12
120,1970M01,34.94,302.4,132.5,1.88,3842.7,1626.3,1970,1,1970M01
121,1970M02,34.99,298,132.5,1.9,3767.7,1657.2,1970,2,1970M02
122,1970M03,35.09,296,132.5,1.89,3796.4,1754,1970,3,1970M03
123,1970M04,35.62,293.4,132.5,1.85,3849.3,1741.6,1970,4,1970M04
124,1970M05,35.95,291.7,132.5,1.67,3736.8,1597.9,1970,5,1970M05
125,1970M06,35.42,293.2,132.5,1.64,3542.8,1458,1970,6,1970M06
126,1970M07,35.32,298.1,132.5,1.69,3498.7,1366.6,1970,7,1970M07
127,1970M08,35.38,298.1,132.5,1.8,3620,1266.5,1970,8,1970M08
128,1970M09,36.19,300,132.5,1.8,3646.4,1246.9,1970,9,1970M09
129,1970M10,37.52,296.5,132.5,1.75,3668.5,1142.4,1970,10,1970M10
130,1970M11,37.44,293.2,132.5,1.76,3615.6,1085.3,1970,11,1970M11
131,1970M12,37.44,289.2,132.5,1.63,3496.5,1045.7,1970,12,1970M12
132,1971M01,37.88,284.6,129,1.64,3465.7,1010,1971,1,1971M01
133,1971M02,38.74,272.1,122.5,1.6,3463.5,1020.2,1971,2,1971M02
134,1971M03,38.87,283.7,122.5,1.67,3527.4,1144.1,1971,3,1971M03
135,1971M04,39.01,283.5,122.5,1.73,3562.7,1251.5,1971,4,1971M04
136,1971M05,40.52,287.7,122.5,1.67,3520.8,1114.4,1971,5,1971M05
137,1971M06,40.1,308.6,122.5,1.61,3448,1074.2,1971,6,1971M06
138,1971M07,40.95,317.6,122.5,1.58,3456.8,1115.3,1971,7,1971M07
139,1971M08,42.71,322.5,122.5,1.59,3478.9,1097.9,1971,8,1971M08
